"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2017 14:15 - 04.01.2017 14:30","62519","70305"
"04.01.2017 14:30 - 04.01.2017 14:45","62317","70197"
"04.01.2017 14:45 - 04.01.2017 15:00","62876","69725"
"04.01.2017 15:00 - 04.01.2017 15:15","63319","69908"
"04.01.2017 15:15 - 04.01.2017 15:30","62708","69414"
"04.01.2017 15:30 - 04.01.2017 15:45","62334","69111"
"04.01.2017 15:45 - 04.01.2017 16:00","63082","69017"
"04.01.2017 16:00 - 04.01.2017 16:15","63075","69372"
"04.01.2017 16:15 - 04.01.2017 16:30","63847","69710"
"04.01.2017 16:30 - 04.01.2017 16:45","64617","70283"
"04.01.2017 16:45 - 04.01.2017 17:00","64933","71223"
"04.01.2017 17:00 - 04.01.2017 17:15","66746","71450"
"04.01.2017 17:15 - 04.01.2017 17:30","66605","71934"
"04.01.2017 17:30 - 04.01.2017 17:45","67437","71873"
"04.01.2017 17:45 - 04.01.2017 18:00","67522","71308"
"04.01.2017 18:00 - 04.01.2017 18:15","67422","71517"
"04.01.2017 18:15 - 04.01.2017 18:30","67409","70742"
"04.01.2017 18:30 - 04.01.2017 18:45","67251","70306"
"04.01.2017 18:45 - 04.01.2017 19:00","67206","70182"
"04.01.2017 19:00 - 04.01.2017 19:15","66735","69861"
"04.01.2017 19:15 - 04.01.2017 19:30","66014","69546"
"04.01.2017 19:30 - 04.01.2017 19:45","65458","68815"
"04.01.2017 19:45 - 04.01.2017 20:00","64995","68635"
"04.01.2017 20:00 - 04.01.2017 20:15","62749","67561"
"04.01.2017 20:15 - 04.01.2017 20:30","61399","66132"
"04.01.2017 20:30 - 04.01.2017 20:45","60787","64821"
"04.01.2017 20:45 - 04.01.2017 21:00","60111","63696"
"04.01.2017 21:00 - 04.01.2017 21:15","59174","62672"
"04.01.2017 21:15 - 04.01.2017 21:30","58856","62511"
"04.01.2017 21:30 - 04.01.2017 21:45","58659","61792"
"04.01.2017 21:45 - 04.01.2017 22:00","57908","61734"
"04.01.2017 22:00 - 04.01.2017 22:15","58053","61886"
"04.01.2017 22:15 - 04.01.2017 22:30","57385","61119"
"04.01.2017 22:30 - 04.01.2017 22:45","56180","59682"
"04.01.2017 22:45 - 04.01.2017 23:00","55010","58341"
"04.01.2017 23:00 - 04.01.2017 23:15","53357","57299"
"04.01.2017 23:15 - 04.01.2017 23:30","52325","56462"
"04.01.2017 23:30 - 04.01.2017 23:45","51087","55450"
"04.01.2017 23:45 - 05.01.2017 00:00","50486","55471"
"05.01.2017 00:00 - 05.01.2017 00:15","50653","53172"
"05.01.2017 00:15 - 05.01.2017 00:30","50211","52671"
"05.01.2017 00:30 - 05.01.2017 00:45","49237","51965"
"05.01.2017 00:45 - 05.01.2017 01:00","48832","51253"
"05.01.2017 01:00 - 05.01.2017 01:15","48404","50451"
"05.01.2017 01:15 - 05.01.2017 01:30","47873","49901"
"05.01.2017 01:30 - 05.01.2017 01:45","47426","49585"
"05.01.2017 01:45 - 05.01.2017 02:00","46901","49204"
"05.01.2017 02:00 - 05.01.2017 02:15","46818","48669"
"05.01.2017 02:15 - 05.01.2017 02:30","46638","48579"
"05.01.2017 02:30 - 05.01.2017 02:45","47103","48617"
"05.01.2017 02:45 - 05.01.2017 03:00","46572","48610"
"05.01.2017 03:00 - 05.01.2017 03:15","46843","48398"
"05.01.2017 03:15 - 05.01.2017 03:30","46652","48670"
"05.01.2017 03:30 - 05.01.2017 03:45","46658","48539"
"05.01.2017 03:45 - 05.01.2017 04:00","47150","48514"
"05.01.2017 04:00 - 05.01.2017 04:15","47267","48873"
"05.01.2017 04:15 - 05.01.2017 04:30","47988","49164"
"05.01.2017 04:30 - 05.01.2017 04:45","47732","49229"
"05.01.2017 04:45 - 05.01.2017 05:00","48351","49865"
"05.01.2017 05:00 - 05.01.2017 05:15","49001","50541"
"05.01.2017 05:15 - 05.01.2017 05:30","49093","51303"
"05.01.2017 05:30 - 05.01.2017 05:45","49741","52179"
"05.01.2017 05:45 - 05.01.2017 06:00","50762","52935"
"05.01.2017 06:00 - 05.01.2017 06:15","52638","54316"
"05.01.2017 06:15 - 05.01.2017 06:30","53677","56434"
"05.01.2017 06:30 - 05.01.2017 06:45","55779","58268"
"05.01.2017 06:45 - 05.01.2017 07:00","56629","59839"
"05.01.2017 07:00 - 05.01.2017 07:15","58786","61528"
"05.01.2017 07:15 - 05.01.2017 07:30","59319","62621"
"05.01.2017 07:30 - 05.01.2017 07:45","61961","64115"
"05.01.2017 07:45 - 05.01.2017 08:00","62667","65145"
"05.01.2017 08:00 - 05.01.2017 08:15","63908","65935"
"05.01.2017 08:15 - 05.01.2017 08:30","63950","66284"
"05.01.2017 08:30 - 05.01.2017 08:45","64088","66521"
"05.01.2017 08:45 - 05.01.2017 09:00","64423","66705"
"05.01.2017 09:00 - 05.01.2017 09:15","64762","66895"
