DK onwind,DK offwind,DK solar,DK ocgt,NO onwind,NO offwind,NO solar,NO ocgt,SE onwind,SE offwind,SE solar,SE ocgt,DK onwind g,DK offwind g,DK solar g,DK ocgt g,NO onwind g,NO offwind g,NO solar g,NO ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,NO-DK,NO-SE,SE-DK,co2_emission,objective_value,transmission,gini
29109.6648727,8.3110676438e-07,3.03123629039e-06,13577.2317258,2.43625600962e-07,2.42825101029e-07,1.3356598754e-06,16936.5991893,3.88947867498e-07,3.52609500085e-07,3.77560936506e-06,20958.7579545,116520522.98849452,0.0033135772531198452,0.0022409387186452657,33229513.09024341,0.00032680923225405237,0.0006534910952239557,0.0006957032709430594,58005940.68412476,0.0006612935576572182,0.0010677012295307092,0.0028577038792620022,88895554.22531699,12569.1145211,2.39950501813e-06,10350.1590969,86462883.83984852,18063352362.73367,22919.27362039951,0.4210323448832807
18025.7404117,1.61591728989e-08,2.73635909149e-08,10630.5788401,7.62593395648e-08,2.32991575923e-08,2.58587643858e-08,14325.8673886,21558.9569023,2.25497403221e-08,4.21923485976e-08,22563.0983665,71892737.67096633,6.456940070696583e-05,1.8623597181997203e-05,29057239.173622817,0.0001578392438322929,8.008103266482952e-05,1.374025534558389e-05,56231096.77379792,56623551.28535056,7.73712017291533e-05,2.9670554348626368e-05,82846906.0958004,11371.9457248,266.054305785,1469.61049009,80704916.1807464,18063352362.732384,13107.610520675,0.3301055655859466
40474.0201607,2.60967397989e-06,9.49481321499e-07,13778.5694877,1.024487207e-06,6.56106196887e-07,1.02432779339e-06,15174.7480486,19556.328037,8.86979249464e-07,1.14824622062e-06,18011.218099,138712006.9161014,0.00952229632257478,0.0005699486177355635,26532066.77124375,0.0016196902503962385,0.0019377253029980394,0.0004773584081191127,34679681.12344027,48359431.02164441,0.002680958852397649,0.0007027906095432107,48368345.150066294,16549.9993206,0.000676118876656,9222.61377925,52598444.661480576,18063352362.720726,25772.61377596888,0.5210424019648419
40474.0201608,4.74978906736e-08,4.35103101172e-08,13784.4759918,8.45664963784e-08,3.80056057235e-08,4.63183329333e-08,15128.6785532,19556.3280699,3.87622015529e-08,5.18320811839e-08,18051.3810889,138632506.1403878,0.00016432614273505615,2.5666312418510853e-05,26601856.873468265,0.0001406488354125542,0.00011319850245837806,2.192588169142847e-05,34474010.47161043,48438928.359708644,0.00011394422966552873,3.1550562145000045e-05,48504229.15423045,16549.9999669,2.18863010729e-05,9222.61022928,52598446.319667354,18063352362.744125,25772.6102180663,0.5216357184107138
24138.5860307,6.31934978352e-07,8.36164265392e-07,11693.3153774,2.13823847934e-06,7.5824057411e-07,7.82502723969e-07,14187.3945401,31132.7019899,7.59652267805e-07,7.96459397202e-07,20749.6392157,91022226.19050233,0.0024070697937455697,0.000528473157342506,26199546.651032474,0.0040013499530654134,0.002424693438828732,0.0003680766263775362,40097834.5204915,77026818.4760933,0.002346758667973326,0.0004663112266764521,62305105.14933566,14827.7668446,848.233154246,1957.68374627,61729193.43401322,18063352362.73518,17633.683745116,0.4102291665130384
18213.2716803,4.58466848535e-08,8.02183807221e-08,9692.64282849,2.21745585348e-07,6.65961169234e-08,7.95134242001e-08,15192.7987576,19161.3936671,6.34998626567e-08,1.30381805557e-07,22689.4672096,72761944.99461286,0.00018157131766970746,5.443888986265637e-05,23110439.300532497,0.000459443624799733,0.00022821259827742032,4.349398591476133e-05,62918928.69601608,50543113.231723614,0.00021925879276015804,9.391418756473846e-05,87317104.7758506,11127.3911801,6.4769913475e-07,1800.15798519,83206306.93075061,18063352362.734394,12927.549165937698,0.30017927752002416
20370.5395628,1.49140989167e-09,2.31585801824e-09,10579.045868,5.10976944937e-09,1.81028357609e-09,2.39453711424e-09,14524.7201586,29386.7413767,1.95383180237e-09,2.91811004222e-09,21917.3492009,79845251.12730952,5.634853808281649e-06,1.5099702240986352e-06,24898655.52023357,9.79982463600903e-06,5.894854307178404e-06,1.2776939272650624e-06,51173266.431913465,73567250.55349946,6.1450255453943695e-06,1.9010295611324483e-06,67167107.36704464,13455.251948,915.748052057,842.535420003,68754734.07321197,18063352362.725506,15213.53542006,0.3526470990963093
29659.0459756,1.36312441867e-06,1.54492410898e-06,12233.7523567,8.92366908632e-06,1.90232025449e-06,1.68201050327e-06,14850.6880151,29201.2976293,1.30848329609e-06,1.83822661595e-06,19285.4393517,106010360.39389162,0.004789322200703656,0.0009229707341819596,24173963.43858344,0.01654577582463578,0.006006582223167214,0.0008327353917951022,35364246.4544233,72592738.16415349,0.0038662896264626987,0.001141653566078331,58510222.51484227,15836.0000563,486.000054655,3936.7774931,56663247.55576714,18063352362.73159,20258.777604054998,0.4498815958190815
26495.4758503,6.95241186441e-06,9.87080936249e-06,11946.8811117,2.33324666998e-05,7.82123174377e-06,1.09838067379e-05,14142.2554063,30729.2042872,8.05737758057e-06,1.18938380669e-05,20425.7759891,97774609.18501005,0.023942831994470906,0.0060204926598126625,24567750.326840095,0.04140653638822189,0.023898395904937603,0.005611636817400028,37473196.560186334,75801889.74998638,0.023748849458541825,0.007567244104481548,61034085.04577766,15361.8690021,644.243691371,2806.63213927,59076015.32774535,18063352362.718475,18812.744832741002,0.42814053411115127
29058.8916354,2.87309353065e-06,3.95056951721e-06,11920.2932767,9.38198861106e-06,3.14052765622e-06,4.42883044892e-06,14549.742154,29553.5043293,3.30016776901e-06,4.89477809728e-06,19925.8521905,104774530.73877208,0.009819775727164446,0.0023663620576597627,21887318.344746068,0.01636497429906381,0.009431964133975386,0.0022171813525420033,37337053.1250729,73024102.14444578,0.00972623378947749,0.0030662855245370464,59628526.59396296,15787.5042245,507.504230467,3702.12031327,57049391.0706103,18063352362.73126,19997.128768237002,0.4370620674382074
40474.0201607,3017.42048474,6.10969103498e-07,15474.4378,5.40914922216e-08,4.72927861911e-08,3.44553142279e-07,17229.5817957,1.00924503271e-07,7.34220487575e-08,7.40813937374e-07,18399.9982498,156209353.04163855,9760318.204377117,0.00040553748329259364,33200834.279110264,6.917918069645919e-05,0.00011259162235380542,0.00017524214072920643,45017738.03662582,0.00016769586389213766,0.0001923402328864656,0.0005132786231754164,52463287.43661599,15573.0000001,8.24322400967e-07,16183.9999995,62727292.681130886,18063352362.731014,31757.000000424323,0.5571448118150906
40474.02016,3017.42039551,4.27061577974e-05,15515.1531807,5.25854132967e-06,4.48742423304e-06,2.46281086835e-05,17214.1812551,1.03483194955e-05,7.054480798e-06,5.08789610581e-05,18374.6833717,156209312.29376143,9760358.652689222,0.02861695061923637,33485030.818357542,0.007078230751555793,0.011343460852181544,0.012354321957132902,44921672.48674085,0.01810185833041096,0.01988225569972476,0.0350394330891762,52275156.616119765,15572.9999765,5.07556229902e-05,16184.0000412,62727292.76218476,18063352362.743725,31757.00006845562,0.5579911917905853
40474.0201608,3017.42048566,1.47301618417e-07,15285.4302366,3.89258093072e-09,3.76153536699e-09,8.64982776378e-08,17057.7514357,6.93639234452e-09,6.34925106745e-09,1.80429047182e-07,18760.8361737,156209353.16188756,9760318.086182142,9.763094662307684e-05,32290902.714490093,4.578977554886722e-06,8.065702518665973e-06,4.39034624923311e-05,44224881.89378984,9.923304367843993e-06,1.462994589309363e-05,0.00012480811510818992,54166075.143351935,15572.9999991,2.03680174303e-07,16183.999999,62727292.68077878,18063352362.743477,31756.99999830368,0.557711857759414
33558.8819644,3.40870161083e-08,9.24177052247e-08,13501.3173349,17603.5640096,4.91660501255e-08,4.86741235685e-08,16422.9896417,4.80052734526e-07,4.03496373017e-08,9.10633465518e-08,16347.1057578,127163112.12232721,0.0001241792944038314,6.314561486608554e-05,31396317.275634333,38797230.120856166,0.0001569890978740439,2.4602642854278964e-05,49653075.50575444,0.001132897219184797,0.00013229589962036265,6.30841195639088e-05,49641795.973746,8107.60265807,3.2305141697e-07,16014.9999991,62731770.60246124,18063352362.731228,24122.60265749305,0.4880361205264837
33558.8818569,5.3569051275e-06,1.38388736102e-05,13505.2673456,17603.5638527,7.79408451418e-06,7.32764341926e-06,16422.846413,7.4325222054e-05,6.39552181455e-06,1.3447638648e-05,16343.2989735,127158257.19779211,0.019628074032412467,0.009461651743785063,31435710.644239984,38802084.412776634,0.02501169532849841,0.003654944729636832,49638659.18864993,0.1756768721990807,0.021077107011074746,0.009263585476901178,49616819.29282145,8107.60265719,4.81153006663e-05,16014.9998893,62731770.78034095,18063352362.72889,24122.6025946053,0.4881724070797363
33558.8819636,1.14167903736e-08,2.89152945553e-08,13501.4084903,17603.5640102,1.66680144169e-08,1.54404603205e-08,16425.1798939,1.56776019129e-07,1.36809663464e-08,2.8091076461e-08,16344.8243502,127163040.45655526,4.1935189765081386e-05,1.977154183151539e-05,31402373.602021184,38797301.78532345,5.357719589666599e-05,7.653188809542458e-06,49658765.05037055,0.0003704361119743285,4.515494832670521e-05,1.9305056484814207e-05,49630050.10514621,8107.60265619,1.00678941151e-07,16015.0,62731770.60361764,18063352362.720406,24122.602656290677,0.4880818256812405
